instancias/AS-BA.R-Wax.v100e217.rpairs.10.1;7;3;0.463
instancias/AS-BA.R-Wax.v100e217.rpairs.10.2;7;3;0.58
instancias/AS-BA.R-Wax.v100e217.rpairs.10.3;5;5;0.401
instancias/AS-BA.R-Wax.v100e217.rpairs.10.4;8;2;0.701
instancias/AS-BA.R-Wax.v100e217.rpairs.10.5;9;1;0.639
instancias/AS-BA.R-Wax.v100e217.rpairs.10.6;7;3;0.532
instancias/AS-BA.R-Wax.v100e217.rpairs.10.7;7;3;0.538
instancias/AS-BA.R-Wax.v100e217.rpairs.10.8;10;0;0.632
instancias/AS-BA.R-Wax.v100e217.rpairs.10.9;9;1;0.631
instancias/AS-BA.R-Wax.v100e217.rpairs.10.10;8;2;0.782
instancias/AS-BA.R-Wax.v100e217.rpairs.10.11;8;2;0.705
instancias/AS-BA.R-Wax.v100e217.rpairs.10.12;8;2;0.633
instancias/AS-BA.R-Wax.v100e217.rpairs.10.13;9;1;0.657
instancias/AS-BA.R-Wax.v100e217.rpairs.10.14;9;1;0.667
instancias/AS-BA.R-Wax.v100e217.rpairs.10.15;8;2;0.669
instancias/AS-BA.R-Wax.v100e217.rpairs.10.16;7;3;0.532
instancias/AS-BA.R-Wax.v100e217.rpairs.10.17;11;-1;0.785
instancias/AS-BA.R-Wax.v100e217.rpairs.10.18;7;3;0.469
instancias/AS-BA.R-Wax.v100e217.rpairs.10.19;8;2;0.584
instancias/AS-BA.R-Wax.v100e217.rpairs.10.20;9;1;0.622
